Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],NO,NO2,NOx,O3,PM10_conc,PM10-2.5_conc,PM2.5_conc,Air_Pressure,Air_Temperature,Relative_Humidity
2020-05-06 13:00,20.52,20.11666667,3.166666667,3.666666667,4,142.3,1.421640667,1935.236667,1.41012,99261.9,1.646,3.425,5.072,38.173,13.57,9.732,3.834,991.865,12.071,29.295
2020-05-06 14:00,17.96833333,24.75729167,13.86875,15.925,16.81041667,63.95895833,1.423080146,263.0383333,1.422146396,99264.71875,1.397,3.086,4.483,39.447,14.779,10.735,4.045,991.566,12.162,29.102
2020-05-06 15:00,22.34883333,19.43266667,1.673333333,2.333333333,2.475,60.01266667,1.423583383,95.9945,1.423568183,99188.64333,1.237,2.699,3.905,40.509,12.838,8.89,3.945,991.147,12.286,28.184
2020-05-06 16:00,22.43866667,18.594,1.186666667,1.92,2.09,61.118,1.423567033,56.3415,1.423861483,99138.06833,1.49,3.941,5.639,40.473,15.705,11.404,4.303,990.687,12.375,27.602
2020-05-06 17:00,22.4715,18.09383333,1.471666667,2.248333333,2.441666667,62.87216667,1.423533167,49.2405,1.423914983,99108.19,1.91,5.132,6.875,40.592,19.672,15.035,4.628,990.413,12.848,26.503
2020-05-06 18:00,18.64533333,21.028,2.131666667,3.108333333,3.378333333,60.56516667,1.423227967,36.461,1.423819983,99122.90667,2.493,7.458,9.555,39.162,21.342,16.181,5.17,990.414,12.15,27.662
2020-05-06 19:00,15.23333333,25.08116667,2.056666667,3.14,3.445,59.70116667,1.422926617,47.74116667,1.423570217,99152.67333,1.458,10.777,12.126,35.057,16.456,11.442,5.01,990.579,11.4,28.912
2020-05-06 20:00,13.897,23.85416667,2.478333333,3.111666667,3.216666667,55.33316667,1.42289045,38.52233333,1.42356995,99211.77,0.397,3.695,4.078,38.341,13.062,9.67,3.4,991.122,10.556,26.898
2020-05-06 21:00,12.3945,25.30183333,0.745,1.216666667,1.338333333,55.14283333,1.4227754,36.68783333,1.423520783,99239.42,0.318,4.479,4.797,36.087,10.369,7.124,3.245,991.351,9.064,28.356
2020-05-06 22:00,11.393,26.38216667,0.6,1.073333333,1.23,56.6265,1.422677967,40.21166667,1.423461167,99234.53667,0.357,4.094,4.451,35.947,8.113,4.888,3.227,991.279,8.395,29.114
2020-05-06 23:00,10.67683333,29.173,0.843333333,1.41,1.603333333,54.62966667,1.422670933,44.46633333,1.4234062,99203.67667,0.589,4.937,5.661,33.951,8.608,5.214,3.394,990.925,7.743,31.907
2020-05-07 0:00,9.95779661,30.93305085,1.038983051,1.662711864,1.83220339,53.89830508,1.422637949,44.85983051,1.423378644,99163.65424,0.532,6.606,7.138,31.796,9.184,5.565,3.622,990.519,7.417,33.219
2020-05-07 1:00,9.528360656,31.74213115,1.645901639,2.349180328,2.519672131,53.75704918,1.422611967,42.94754098,1.423377492,99109.16885,0.113,8.106,8.218,29.349,9.143,5.378,3.766,989.955,6.536,35.511
2020-05-07 2:00,9.014166667,32.52466667,1.06,1.66,1.841666667,53.91383333,1.4225744,46.00083333,1.4233381,99055.71833,0.475,7.98,8.455,29.023,7.66,3.978,3.681,989.391,6.09,36.058
2020-05-07 3:00,8.122833333,34.65366667,1.018333333,1.701666667,1.87,51.942,1.42255485,47.40933333,1.423297483,99030.13,0.535,13.045,13.58,22.883,7.956,4.215,3.737,989.053,5.316,38.218
2020-05-07 4:00,7.934,32.86383333,0.843333333,1.478333333,1.653333333,50.59083333,1.42256985,44.518,1.423311467,99012.59,0.282,10.361,10.642,27.075,7.717,4.217,3.495,988.862,5.246,36.573
2020-05-07 5:00,7.926833333,32.70166667,0.655,1.183333333,1.34,54.61083333,1.42248745,47.45283333,1.423290383,98980.23,1.281,11.635,13.53,25.819,9.659,6.333,3.324,988.538,5.026,36.191
2020-05-07 6:00,8.671666667,31.054,1,1.56,1.758333333,55.588,1.4225174,53.417,1.423273717,98975.84333,1.165,12.28,13.445,26.966,11.403,7.853,3.55,988.534,6.079,33.523
2020-05-07 7:00,13.16050847,26.85983051,2.527118644,3.347457627,3.574576271,56.20610169,1.422819085,45.52,1.423492407,98960.38814,2.062,9.643,11.705,29.966,18.576,14.402,4.165,988.65,8.702,31.587
2020-05-07 8:00,14.20983333,28.60066667,2.066666667,2.815,3.03,58.09583333,1.4228632,37.94983333,1.423589583,98940.23833,1.49,5.84,7.33,33.958,19.255,15.051,4.208,988.487,9.368,35.401
2020-05-07 9:00,15.8235,27.30633333,1.245,1.971666667,2.141666667,60.408,1.422967667,44.46533333,1.423622817,98881.39333,1.416,4.326,5.742,38.204,14.827,10.794,4.025,988.001,10.972,33.123
2020-05-07 10:00,21.0395,20.7495,1.1,1.72,1.813333333,66.79766667,1.423319183,30.0385,1.423984783,98799.38,1.113,2.822,3.973,41.941,11.604,7.903,3.704,987.423,13.108,28.249
2020-05-07 11:00,19.13516667,24.23233333,2.365,3.096666667,3.24,65.239,1.423176733,33.05083333,1.423868883,98800.84667,0.884,2.95,3.834,39.542,12.951,9.102,3.848,987.304,11.947,34.442
2020-05-07 12:00,18.9775,27.48316667,2.165,2.921666667,3.08,63.814,1.42319205,37.41316667,1.423829567,98742.48667,1.798,3.942,5.5,38.558,15.058,10.865,4.194,986.725,12.181,38.779
2020-05-07 13:00,16.99333333,35.782,1.995,2.958333333,3.133333333,62.53283333,1.423033417,29.9215,1.4237851,98763.87333,0.942,3.37,4.312,37.644,19.132,14.478,4.654,986.804,9.395,54.695
2020-05-07 14:00,12.0845,51.582,3.115,4.24,4.458333333,45.0065,1.422963017,35.62333333,1.423518217,98819.75,0.961,3.366,4.326,35.208,9.371,4.916,4.454,987.108,5.601,73.748
2020-05-07 15:00,10.98266667,55.98883333,1.745,2.705,2.901666667,36.96966667,1.4230527,51.47016667,1.423366917,98834.70333,1.267,3.162,4.399,36.219,7.71,3.865,3.845,987.213,6.306,72.938
2020-05-07 16:00,15.32116667,40.178,2.628333333,3.52,3.716666667,36.101,1.42342145,40.57033333,1.42362615,98793.67167,1.228,2.475,3.703,36.99,7.26,3.606,3.656,986.994,8.816,57.961
2020-05-07 17:00,16.63566667,31.132,1.73,2.45,2.578333333,44.13133333,1.423380517,30.25233333,1.423765317,98816.935,0.77,1.732,2.502,36.944,7.788,4.163,3.621,987.298,9.587,44.481
2020-05-07 18:00,14.34033333,32.38633333,2.46,3.301666667,3.461666667,58.63716667,1.422867333,22.145,1.4237107,98858.375,0.567,1.805,2.372,36.487,8.605,4.837,3.771,987.606,9.182,42.484
2020-05-07 19:00,11.78233333,34.00366667,10.53,12.805,13.53833333,55.43816667,1.422728317,35.751,1.423506333,98894.21667,0.409,2.088,2.497,36.684,7.325,3.685,3.646,987.834,8.064,40.318
2020-05-07 20:00,10.16166667,34.82066667,6.735,8.495,9.081666667,52.338,1.422683383,32.75066667,1.423471683,98988.12,0.325,2.358,2.683,34.874,6.431,2.974,3.459,988.696,6.071,42.591
2020-05-07 21:00,8.406166667,40.03916667,1.833333333,2.71,2.923333333,49.481,1.422623917,38.8955,1.423367467,99053.74667,0.263,4.161,4.424,30.382,7.325,3.665,3.654,989.244,4.624,49.633
2020-05-07 22:00,7.243666667,44.073,1.621666667,2.625,2.868333333,44.28066667,1.42265165,43.72183333,1.423293233,99073.13,0.539,5.787,6.319,28.889,9.195,5.14,4.056,989.412,3.716,54.504
2020-05-07 23:00,6.561,46.70266667,1.888333333,3.023333333,3.298333333,39.96666667,1.422693467,45.06816667,1.4232602,99117.2,0.496,6.334,6.829,28.621,8.489,4.515,3.973,989.812,3.228,56.736
2020-05-08 0:00,5.7055,49.07133333,1.963333333,3.113333333,3.443333333,39.95083333,1.422636117,47.571,1.423213117,99140.80833,0.785,10.531,11.319,22.779,8.484,4.214,4.275,989.967,2.518,59.408
2020-05-08 1:00,5.365333333,41.71733333,0.828333333,1.431666667,1.605,40.74066667,1.4225971,45.83316667,1.423213633,99120.05833,0.168,5.56,5.723,30.115,5.833,2.598,3.236,989.766,2.017,49.539
2020-05-08 2:00,4.789666667,41.168,0.246666667,0.643333333,0.773333333,43.05966667,1.42251145,41.80616667,1.423222117,99093.77333,0.241,2.642,2.883,32.285,4.506,2.275,2.23,989.423,0.893,51.046
2020-05-08 3:00,4.094,45.52833333,0.2,0.658333333,0.778333333,42.5795,1.422474367,46.079,1.423168217,99068.48167,0.296,3.719,3.975,30.199,4.922,2.611,2.306,989.162,0.179,57.078
2020-05-08 4:00,3.503166667,49.0415,0.208333333,0.683333333,0.83,41.622,1.422453917,44.26933333,1.423160533,99062.50667,0.637,5.52,5.939,26.983,4.858,2.425,2.432,989.075,-0.158,61.889
2020-05-08 5:00,3.104166667,49.92383333,0.04,0.375,0.475,41.34116667,1.422432717,46.88333333,1.423128533,99081.93833,1.103,3.892,4.994,29.1,4.534,2.562,1.971,989.227,-0.376,62.287
2020-05-08 6:00,3.751333333,46.71983333,0.415,0.825,0.975,41.42483333,1.422474533,53.27366667,1.423105817,99067.01167,1.131,3.749,4.88,28.675,6.339,4.2,2.135,989.109,0.233,57.518
2020-05-08 7:00,5.561166667,38.14816667,0.153333333,0.303333333,0.381666667,41.20833333,1.422600783,47.08166667,1.423211583,99076.725,2.163,3.431,5.612,28.575,4.428,2.792,1.634,989.304,0.71,49.061
2020-05-08 8:00,7.053833333,30.95166667,0.146666667,0.245,0.308333333,41.77583333,1.422689833,45.84283333,1.423271617,99103.03833,1.235,2.22,3.587,28.858,6.672,5.136,1.533,989.686,1.413,40.096
2020-05-08 9:00,9.451333333,26.47233333,0.5,0.538333333,0.598333333,47.8365,1.4227276,44.1735,1.423366083,99109.21667,1.677,2.296,3.96,28.439,6.399,5.06,1.34,989.907,3.178,34.725
2020-05-08 10:00,11.8555,23.54283333,0.006666667,0.066666667,0.145,53.3285,1.422776517,35.325,1.423511967,99050.92833,1.234,1.7,2.934,29.437,6.03,4.654,1.377,989.432,4.573,32.87
2020-05-08 11:00,14.5815,21.41083333,1.476666667,1.701666667,1.835,53.72866667,1.422988417,33.7465,1.4236383,98996.775,1.376,1.438,2.76,29.86,7.777,6.162,1.614,989.043,6,31.073
2020-05-08 12:00,14.56133333,21.00266667,0.933333333,1.098333333,1.166666667,55.696,1.422945817,26.27016667,1.42369055,98998.51,1.419,1.977,3.396,29.225,8.652,6.765,1.885,989.062,5.886,31.808
2020-05-08 13:00,13.00983333,22.07,9.75,11.09,11.94666667,53.70383333,1.4228462,31.38083333,1.42358005,98982.815,1.958,1.951,3.858,29.264,10.016,8.246,1.765,988.812,5.454,31.413
2020-05-08 14:00,13.68683333,20.997,3.513333333,4.043333333,4.335,54.3695,1.42289145,31.60583333,1.423609417,98955.24667,1.135,1.616,2.751,29.985,11.266,9.393,1.877,988.615,6.052,30.078
2020-05-08 15:00,12.36,21.46633333,13.05,15.34333333,15.94166667,54.5565,1.422785,29.72983333,1.423569233,98967.87167,1.152,1.687,2.839,29.776,10.15,7.958,2.192,988.635,5.018,30.143
2020-05-08 16:00,12.69483333,20.75866667,13.44666667,15.32166667,15.91666667,52.86433333,1.42284225,32.65566667,1.423560033,98950.035,1.07,1.404,2.474,30.149,11.668,9.242,2.426,988.49,5.116,30.041
2020-05-08 17:00,13.3475,16.876,1.566666667,2.006666667,2.198333333,53.91466667,1.4228716,27.8835,1.42362065,98986.30667,1.018,1.345,2.363,30.443,11.972,9.536,2.435,988.889,4.876,25.481
2020-05-08 18:00,9.367,20.16433333,3.791666667,4.585,4.96,55.01616667,1.422575517,23.67816667,1.423508633,99051.02667,0.756,1.257,2.014,30.649,7.962,6.113,1.842,989.337,3.331,26.93
2020-05-08 19:00,5.823833333,26.01266667,0.276666667,0.435,0.526666667,52.24416667,1.422394717,34.57533333,1.4233088,99113.945,0.536,1.272,1.808,30.919,6.53,4.539,1.991,989.78,0.872,33.405
2020-05-08 20:00,3.9475,31.0905,0.051666667,0.205,0.298333333,49.87533333,1.422317,36.2,1.423232467,99180.34,0.538,1.799,2.336,29.804,5.375,3.49,1.886,990.346,-0.409,39.233
2020-05-08 21:00,2.932833333,35.21516667,0,0.026666667,0.126666667,46.55833333,1.4223159,37.5515,1.42318805,99257.98,0.484,1.939,2.422,27.133,5.073,3.641,1.433,991.088,-1.169,44.357
2020-05-08 22:00,2.271,38.82483333,0.008333333,0.13,0.221666667,42.302,1.422357233,39.01166667,1.42315485,99310.79667,0.494,2.545,3.039,24.891,2.937,1.578,1.358,991.548,-1.622,49.243
2020-05-08 23:00,1.989,47.1865,0,0.126666667,0.23,40.2995,1.42237865,41.3305,1.423128983,99338.90667,0.619,2.951,3.57,23.954,6.951,5.36,1.6,991.803,-2.157,61.678
2020-05-09 0:00,1.1985,53.47283333,0.018333333,0.171666667,0.278333333,35.75383333,1.4224167,38.30633333,1.4231228,99355.50167,0.436,3.445,3.882,22.415,5.893,4.223,1.673,991.929,-3.078,69.924
2020-05-09 1:00,0.818833333,54.45066667,0.03,0.141666667,0.236666667,36.959,1.42236695,42.60816667,1.4230797,99355.10167,0.206,4.209,4.416,22.012,3.006,1.679,1.328,991.892,-3.01,69.356
2020-05-09 2:00,1.045166667,52.82433333,0.01,0.101666667,0.225,36.48716667,1.42239165,45.33033333,1.423068367,99358.88167,0.383,3.759,4.141,21.42,2.541,1.144,1.401,991.926,-2.861,67.046
2020-05-09 3:00,0.653333333,52.32416667,3.246666667,3.465,3.56,35.77966667,1.42237945,42.49116667,1.423074767,99336.165,0.557,5.647,6.204,18.485,2.965,1.567,1.399,991.671,-3.451,67.326
2020-05-09 4:00,0.235166667,54.87916667,10.06833333,11.62,12.39666667,37.4305,1.422317983,43.64066667,1.423052317,99337.10667,0.675,6.645,7.32,16.89,2.844,1.47,1.376,991.662,-3.78,70.729
2020-05-09 5:00,0.0425,54.95466667,11.88166667,13.68833333,14.78166667,36.8945,1.422315833,46.15633333,1.423028183,99342.345,0.925,8.11,9.035,15.089,4.206,2.713,1.498,991.69,-3.873,69.979
2020-05-09 6:00,0.748333333,53.9185,7.145,8.291666667,8.931666667,38.17766667,1.422337717,53.63416667,1.423000133,99373.20167,1.919,10.633,12.552,13.769,4.59,2.861,1.73,992.031,-3.244,67.485
2020-05-09 7:00,3.868,47.13016667,0.333333333,0.763333333,0.92,38.03933333,1.422550833,55.09216667,1.423097117,99383.15833,3.399,8.788,12.566,15.987,5.894,3.634,2.257,992.323,-1.746,63.768
2020-05-09 8:00,4.924333333,46.52366667,0.208333333,0.715,0.83,38.03266667,1.42262225,49.81216667,1.423170467,99361.26667,2.874,6.598,9.348,18.694,7.156,4.634,2.521,992.166,-0.831,63.214
2020-05-09 9:00,6.493666667,44.4575,0.655,1.078333333,1.211666667,38.05433333,1.422727683,44.21483333,1.423263883,99325.86167,1.763,3.196,4.939,24.475,6.098,3.702,2.394,991.865,0.202,62.41
2020-05-09 10:00,8.752333333,39.30783333,0.34,0.801666667,0.915,38.13,1.422878533,48.94566667,1.423308233,99277.45667,1.089,1.786,2.874,29.125,7.965,5.696,2.272,991.507,1.902,55.177
2020-05-09 11:00,10.60516667,33.84283333,0.313333333,0.795,0.931666667,40.4015,1.422957033,32.45266667,1.423489133,99255.01833,0.965,1.476,2.436,32.259,9.779,7.159,2.621,991.357,2.802,49.507
2020-05-09 12:00,8.963333333,43.2045,0.323333333,0.703333333,0.835,45.35716667,1.422745433,31.25633333,1.4234409,99327.66167,1.007,1.535,2.542,31.521,10.575,7.964,2.616,991.961,1.479,64.722
2020-05-09 13:00,9.755833333,38.1265,0.445,0.826666667,0.93,38.75683333,1.42293355,40.658,1.42340165,99346.04167,0.903,1.352,2.255,32.721,4.003,1.893,2.108,992.205,3.973,49.733
2020-05-09 14:00,10.68783333,33.34,0.006666667,0.16,0.243333333,41.2135,1.422946117,31.3295,1.4235,99371.34,0.723,0.98,1.703,33.76,7.357,5.557,1.801,992.502,3.94,46.356
2020-05-09 15:00,11.1615,28.372,0.006666667,0.111666667,0.22,48.56666667,1.422827467,31.37616667,1.423515967,99373.77,0.655,1.104,1.76,34.613,6.62,4.863,1.755,992.573,4.764,38.514
2020-05-09 16:00,9.9215,29.862,0.37,0.563333333,0.666666667,56.58866667,1.422580483,35.039,1.423447117,99410.325,0.766,1.444,2.21,35.04,6.092,4.412,1.681,992.866,4.141,39.684
2020-05-09 17:00,9.659333333,30.9445,0.36,0.5,0.538333333,55.46833333,1.4225858,34.04683333,1.423445067,99445.93167,0.524,1.327,1.851,36.751,6.112,4.603,1.507,993.221,4.195,40.668
