Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa]
2020-08-12 10:00:00,35.99083333333335,26.107333333333333,3.744999999999998,4.446666666666667,4.646666666666672,81.92749999999991,1.4249475833333327,658.6363333333333,1.4201154499999993,99901.27000000006
2020-08-12 11:00:00,37.75916666666665,23.776999999999983,2.728333333333333,3.3866666666666676,3.6099999999999968,94.26266666666662,1.4249918166666666,704.1945,1.4198919666666654,99896.435
2020-08-12 12:00:00,38.963928571428575,22.339107142857138,2.3732142857142846,3.0910714285714285,3.317857142857143,103.02267857142859,1.4250122142857145,774.7537499999999,1.4194327142857148,99863.78392857146
2020-08-12 13:00:00,36.36083333333335,25.592999999999996,3.973333333333333,4.9866666666666655,5.233333333333335,100.1015,1.4246146499999999,727.7296666666666,1.4196138500000004,99856.73333333332
2020-08-12 14:00:00,35.754833333333345,26.3335,4.556666666666668,5.476666666666669,5.681666666666663,100.5516666666667,1.4244969833333334,737.0251666666666,1.41950065,99857.16833333335
2020-08-12 15:00:00,37.06033333333333,24.586666666666662,3.4683333333333337,4.3066666666666675,4.501666666666666,110.97316666666666,1.4244993166666662,792.1215000000001,1.4191695,99815.65000000001
2020-08-12 16:00:00,38.04916666666668,23.351999999999997,3.776666666666667,4.628333333333332,4.868333333333335,119.03150000000005,1.4244963833333337,825.2356666666667,1.4189826666666667,99777.51166666666
2020-08-12 17:00:00,37.381166666666665,21.180333333333333,2.8716666666666666,3.678333333333333,3.8533333333333357,116.72849999999995,1.4244291000000004,830.6516666666664,1.4188959166666666,99780.56000000004
2020-08-12 18:00:00,34.24466666666667,21.676000000000005,2.809999999999999,3.488333333333331,3.685000000000001,100.81516666666667,1.424225416666666,774.4736666666669,1.4191120333333336,99796.3966666667
2020-08-12 19:00:00,30.7965,26.035833333333333,1.9099999999999997,2.5733333333333337,2.7183333333333324,86.41516666666668,1.4240154833333334,656.488,1.4198110333333334,99823.49833333328
2020-08-12 20:00:00,28.698666666666668,29.37683333333333,3.311666666666666,4.173333333333334,4.3966666666666665,78.28816666666665,1.4239165499999997,582.763,1.4202667666666673,99883.75000000001
2020-08-12 21:00:00,26.54399999999999,34.39816666666666,6.628333333333334,7.980000000000001,8.301666666666666,53.808833333333354,1.4241780833333328,377.4020000000002,1.4216946333333333,99926.75
2020-08-12 22:00:00,25.05283333333333,38.8685,3.9833333333333343,5.309999999999999,5.678333333333334,29.766500000000004,1.4245192666666668,123.32816666666666,1.423506083333333,99932.1966666667
2020-08-12 23:00:00,23.9405,42.24316666666666,6.336666666666664,8.14,8.546666666666665,27.56433333333334,1.4244383,0.0,1.4254550833333333,99954.78833333332
2020-08-13 00:00:00,22.848500000000005,46.5435,6.563333333333334,8.618333333333332,9.091666666666669,29.77316666666666,1.4242677,0.0,1.4253785499999991,99992.56999999999
2020-08-13 01:00:00,21.98433333333334,50.33716666666669,5.7716666666666665,7.351666666666668,7.658333333333334,29.0135,1.4241987833333334,65.25933333333334,1.4237948999999999,100009.11833333335
