Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],NO,NO2,NOx,O3,PM10_conc,PM10-2.5_conc,PM2.5_conc,Air_Pressure,Air_Temperature,Relative_Humidity
2020-07-22 15:00:00,31.708000000000002,45.69716666666668,7.6800000000000015,10.066666666666666,10.411666666666669,67.59416666666667,1.427178583333334,99.98499999999999,1.4180374833333331,99339.975,0.48,3.435,3.905,59.663000000000004,11.952,5.513999999999999,6.433,992.425,25.308000000000003,66.22800000000001
2020-07-22 16:00:00,27.78599999999999,62.50650000000001,11.308333333333334,15.464999999999998,16.049999999999997,61.604833333333346,1.4269366500000003,117.15600000000002,1.4175191,99332.86333333337,0.6890000000000001,7.436,8.031,60.163000000000004,12.373,5.752999999999999,6.617999999999999,992.155,22.456999999999997,85.22399999999999
2020-07-22 17:00:00,26.879166666666666,67.26299999999999,8.531666666666668,12.078333333333331,12.571666666666665,54.28533333333333,1.427013616666667,120.66933333333336,1.4174093833333334,99298.32333333329,0.7,6.405,7.105,57.101000000000006,11.377,6.21,5.162999999999999,991.763,22.462,87.295
2020-07-22 18:00:00,27.984666666666666,62.989999999999995,10.088333333333333,13.569999999999997,14.166666666666664,53.521333333333324,1.4271273999999998,114.72366666666666,1.4175485500000002,99259.39166666665,2.076,10.843,12.888,49.763000000000005,10.529000000000002,5.079,5.456,991.3939999999999,23.619,81.608
2020-07-22 19:00:00,27.74633333333332,63.29449999999998,14.573333333333336,19.07833333333333,20.744999999999997,53.456333333333326,1.427105666666667,117.85566666666666,1.4175002499999998,99281.69499999998,0.8420000000000001,13.315,14.157,42.38,10.719000000000001,5.369,5.351,991.6239999999999,23.682,81.193
2020-07-22 20:00:00,26.370999999999995,69.04383333333334,13.253333333333334,17.829999999999995,19.616666666666664,54.72933333333333,1.4269619,127.90800000000003,1.4173146500000005,99342.6983333333,0.574,11.459000000000001,12.261,42.648999999999994,12.198,6.09,6.109,992.125,22.230999999999998,87.79700000000001
2020-07-22 21:00:00,25.00100000000001,74.93066666666668,9.06,13.220000000000002,14.05833333333333,55.54966666666665,1.4268309,139.11066666666667,1.4171252000000005,99390.63499999998,0.616,17.117,17.732,36.041,11.714,5.731,5.983,992.515,21.896,91.491
2020-07-22 22:00:00,24.889333333333322,75.57133333333334,8.668333333333333,12.663333333333334,13.42333333333334,53.609333333333325,1.4268637833333335,144.5008333333334,1.4170749833333331,99455.61833333332,0.428,10.943,11.364,35.058,9.922,4.593,5.329,993.1189999999999,21.595,92.757
2020-07-22 23:00:00,24.17433333333333,74.40383333333334,7.533333333333333,10.316666666666661,10.755000000000003,52.84,1.426821333333334,142.20916666666668,1.4170398333333332,99491.23833333336,0.20800000000000002,7.465,7.652,36.839,7.99,3.287,4.703,993.434,20.568,93.63799999999999
2020-07-23 00:00:00,23.24316666666666,74.00333333333333,9.013333333333334,12.538333333333336,12.938333333333333,51.14983333333332,1.4267806500000006,138.032,1.41700285,99514.99000000002,0.198,5.022,5.22,30.771,9.052999999999999,4.1160000000000005,4.939,993.628,20.045,92.524
2020-07-23 01:00:00,22.371833333333324,74.37200000000004,8.355,11.633333333333331,11.955000000000004,50.46800000000003,1.426727283333333,136.69216666666665,1.4169531000000004,99522.30500000001,0.069,6.707000000000001,6.776,32.132,8.314,3.832,4.484,993.663,19.029,92.333
2020-07-23 02:00:00,21.99583333333334,74.91149999999996,8.265000000000002,11.531666666666666,11.940000000000007,50.380833333333335,1.4267036833333335,138.54516666666666,1.4169169000000004,99529.965,0.251,3.818,4.069,28.09,8.58,3.9989999999999997,4.582,993.7,18.77,92.396
2020-07-23 03:00:00,21.874,74.39416666666666,8.111666666666666,11.361666666666666,11.788333333333334,50.36,1.4266957666666669,141.41533333333334,1.4168877500000003,99534.285,0.247,2.668,2.915,29.798000000000002,7.747999999999999,3.324,4.4239999999999995,993.742,18.570999999999998,92.066
2020-07-23 04:00:00,21.638666666666662,73.90549999999999,7.0983333333333345,9.81,10.098333333333336,50.99299999999999,1.4266663666666661,138.76133333333334,1.4168945166666664,99552.33833333335,0.215,3.207,3.4219999999999997,28.175,7.85,3.483,4.368,993.8989999999999,18.346,91.626
2020-07-23 05:00:00,21.331666666666667,73.90833333333333,6.83,9.543333333333333,9.93166666666667,50.65399999999999,1.426652783333333,140.29616666666666,1.4168649500000003,99594.15166666666,0.442,4.06,4.4830000000000005,25.208000000000002,8.213,3.7680000000000002,4.444,994.305,18.016,91.845
2020-07-23 06:00:00,21.436999999999994,74.27683333333333,7.189999999999998,10.128333333333334,10.488333333333335,48.0105,1.4267164666666665,142.9655,1.4168504833333333,99669.09166666662,0.9179999999999999,5.731,6.649,21.351,9.607000000000001,4.997,4.606,995.053,18.055999999999997,92.206
